0,/smc8/Melody1/Sequencer1/Slider0,i,0
15,/smc8/Melody1/Sequencer1/Slider1,i,0
16,/smc8/Melody1/Sequencer1/Slider2,i,0
17,/smc8/Melody1/Sequencer1/Slider3,i,0
17,/smc8/Melody1/Sequencer1/Slider4,i,0
19,/smc8/Melody1/Sequencer1/Slider5,i,0
19,/smc8/Melody1/Sequencer1/Slider6,i,0
20,/smc8/Melody1/Sequencer1/Slider7,i,0
1591,/smc8/Melody1/Sequencer1/Slider0,i,0
1619,/smc8/Melody1/Sequencer1/Slider0,i,85
1687,/smc8/Melody1/Sequencer1/Slider0,i,170
1735,/smc8/Melody1/Sequencer1/Slider0,i,255
1775,/smc8/Melody1/Sequencer1/Slider0,i,341
2488,/smc8/Melody1/Sequencer1/Slider2,i,0
2571,/smc8/Melody1/Sequencer1/Slider2,i,85
2609,/smc8/Melody1/Sequencer1/Slider2,i,170
2632,/smc8/Melody1/Sequencer1/Slider2,i,341
2680,/smc8/Melody1/Sequencer1/Slider2,i,426
3555,/smc8/Melody1/Sequencer1/Slider4,i,85
3635,/smc8/Melody1/Sequencer1/Slider4,i,170
3657,/smc8/Melody1/Sequencer1/Slider4,i,341
3682,/smc8/Melody1/Sequencer1/Slider4,i,511
3703,/smc8/Melody1/Sequencer1/Slider4,i,596
3722,/smc8/Melody1/Sequencer1/Slider4,i,682
3743,/smc8/Melody1/Sequencer1/Slider4,i,767
5057,/smc8/Melody1/Sequencer1/Slider3,i,0
5135,/smc8/Melody1/Sequencer1/Slider3,i,85
5159,/smc8/Melody1/Sequencer1/Slider3,i,170
5690,/smc8/Melody1/Sequencer1/Slider1,i,0
5733,/smc8/Melody1/Sequencer1/Slider1,i,85
5799,/smc8/Melody1/Sequencer1/Slider1,i,170
5820,/smc8/Melody1/Sequencer1/Slider1,i,255
5843,/smc8/Melody1/Sequencer1/Slider1,i,341
5868,/smc8/Melody1/Sequencer1/Slider1,i,426
5935,/smc8/Melody1/Sequencer1/Slider1,i,511
5958,/smc8/Melody1/Sequencer1/Slider1,i,596
7235,/smc8/Melody1/Sequencer1/Slider7,i,85
7300,/smc8/Melody1/Sequencer1/Slider7,i,255
7319,/smc8/Melody1/Sequencer1/Slider7,i,341
7341,/smc8/Melody1/Sequencer1/Slider7,i,426
7363,/smc8/Melody1/Sequencer1/Slider7,i,511
10169,/smc8/Melody1/PerformanceModifiers1/Knob3,i,511
10233,/smc8/Melody1/PerformanceModifiers1/Knob3,i,682
10350,/smc8/Melody1/PerformanceModifiers1/Knob3,i,852
11146,/smc8/Melody1/PerformanceModifiers1/Knob4,i,522
11195,/smc8/Melody1/PerformanceModifiers1/Knob4,i,563
11221,/smc8/Melody1/PerformanceModifiers1/Knob4,i,629
11250,/smc8/Melody1/PerformanceModifiers1/Knob4,i,655
11270,/smc8/Melody1/PerformanceModifiers1/Knob4,i,665
11298,/smc8/Melody1/PerformanceModifiers1/Knob4,i,675
11321,/smc8/Melody1/PerformanceModifiers1/Knob4,i,680
11368,/smc8/Melody1/PerformanceModifiers1/Knob4,i,685
11471,/smc8/Melody1/PerformanceModifiers1/Knob4,i,691
11492,/smc8/Melody1/PerformanceModifiers1/Knob4,i,701
11512,/smc8/Melody1/PerformanceModifiers1/Knob4,i,706
11583,/smc8/Melody1/PerformanceModifiers1/Knob4,i,711
